uark/csce5013/hjnauman/wifi_rtls : b'25 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -55'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -60'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -59'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -67'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -60'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -61'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -60'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -61'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -59'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -61'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -59'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -68'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -69'
uark/csce5013/hjnauman/wifi_rtls : b'25 | -61'
RSSI mean at 25 feet : -61

# Indoor with obstacles
uark/csce5013/hjnauman/wifi_rtls : b'35 | -59'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -57'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -63'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -67'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -64'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -66'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -68'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -61'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -66'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -62'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -65'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -68'
uark/csce5013/hjnauman/wifi_rtls : b'35 | -65'
RSSI mean at 35 feet : -63

uark/csce5013/hjnauman/wifi_rtls : b'45 | -70'
uark/csce5013/hjnauman/wifi_rtls : b'45 | -67'
uark/csce5013/hjnauman/wifi_rtls : b'45 | -71'
uark/csce5013/hjnauman/wifi_rtls : b'45 | -75'
uark/csce5013/hjnauman/wifi_rtls : b'45 | -65'
